小区名称,销售情况,区划,区域,周边地铁,建筑材质,建造年份,房价,在售房数,成交数量,正在出租,Cluster
东四头条,"['30天成交0套', '0套正在出租']",东城,东四,近地铁5号线东四站,9,1960年,,,30,0,0
东四块玉南街甲9号楼,"['30天成交0套', '1套正在出租']",东城,左安门,近地铁5号线天坛东门站,11,1980-1998年,87312.0,,30,1,4
东四十一条,"['30天成交0套', '2套正在出租']",东城,东四,近地铁2号线东四十条站,13,1958-1988年,184949.0,,30,2,6
缎库胡同,"['30天成交0套', '1套正在出租']",东城,东单,近地铁1号线八通线天安门东站,14,未知,,,30,1,0
东交民巷30号院,"['30天成交0套', '0套正在出租']",东城,前门,近地铁5号线崇文门站,0,1990年,115561.0,,30,0,1
灯笼库胡同,"['30天成交0套', '0套正在出租']",东城,东单,近地铁1号线八通线天安门东站,9,1980-2003年,159375.0,,30,0,3
东罗圈胡同,"['30天成交0套', '1套正在出租']",东城,金宝街,近地铁5号线灯市口站,9,1955-1999年,,,30,1,0
东花厅胡同,"['30天成交0套', '2套正在出租']",东城,金宝街,近地铁5号线灯市口站,9,未知,,,30,2,0
大经厂西巷,"['30天成交0套', '0套正在出租']",东城,地安门,近地铁8号线什刹海站,9,1960-1975年,,,30,0,0
东玖大厦,"['30天成交0套', '0套正在出租']",东城,广渠门,近地铁7号线广渠门内站,2,2005年,,,30,0,0
东花市大街,"['30天成交0套', '0套正在出租']",东城,东花市,近地铁5号线磁器口站,11,未知,,,30,0,0
府学胡同,"['30天成交0套', '1套正在出租']",东城,交道口,近地铁5号线张自忠路站,9,1950-2021年,235291.0,,30,1,6
奋章胡同,"['30天成交0套', '0套正在出租']",东城,崇文门,近地铁7号线桥湾站,14,1949-1999年,107841.0,,30,0,1
刚察胡同,"['30天成交0套', '0套正在出租']",东城,东四,近地铁8号线中国美术馆站,9,1980-2020年,,,30,0,0
方家胡同,"['30天成交0套', '0套正在出租']",东城,交道口,近地铁2号线雍和宫站,14,1940-2014年,,,30,0,0
分司厅胡同,"['30天成交0套', '2套正在出租']",东城,地安门,近地铁2号线安定门站,9,1950-2018年,,,30,2,0
